(G1R1 Position) - (G1R3 Position) m,(G2R1 Position) - (G2R3 Position) m,(G3R1 Position) - (G3R3 Position) m,Seq
10.03,10.77,10.3,001
9.61,10.88,10.43,002
10.01,10.82,10.21,003
9.9,10.86,10.48,004
9.91,10.86,10.17,005
10.0,10.79,10.34,006
10.25,10.77,10.24,007
10.04,10.7,10.52,008
10.16,10.7,10.38,009
9.95,10.69,10.55,010
10.19,10.73,10.4,011
10.14,10.73,10.52,012
10.15,10.79,10.34,013
10.14,10.06,10.62,014
10.23,10.16,10.37,015
10.21,10.03,9.94,016
10.12,10.11,9.73,017
10.1,10.03,9.96,018
10.17,10.33,9.87,019
10.01,10.12,9.9,020
10.18,10.32,9.79,021
10.2,10.07,9.94,022
10.18,10.24,9.8,023
9.97,10.12,10.0,024
10.17,10.26,9.8,025
9.89,10.17,9.97,026
10.16,10.3,9.83,027
10.1,10.13,10.11,028
10.22,10.18,9.89,029
10.29,10.16,10.05,030
10.02,10.23,9.95,031
10.3,10.11,9.93,032
