(V1 DA) - (G1 DA) m,(V1 DA) - (G2 DA) m,(V1 DA) - (G3 DA) m,(V1 DA) - (S01 DA) m,(V1 DA) - (S02 DA) m,(V1 DA) - (S03 DA) m,(V1 DA) - (S04 DA) m,(V1 DA) - (S05 DA) m,(V1 DA) - (S06 DA) m,(V1 DA) - (S07 DA) m,(V1 DA) - (S08 DA) m,(V1 DA) - (S09 DA) m,(V1 DA) - (S10 DA) m,(V1 DA) - (S11 DA) m,(V1 DA) - (S12 DA) m,Seq
618.0,621.75,623.99,667.9,675.37,682.4,687.7,697.08,705.88,713.01,720.62,726.57,736.42,744.2,755.52,001
623.0,620.71,617.57,752.72,745.68,736.92,726.52,718.43,711.68,702.35,693.87,683.22,678.05,669.18,660.61,002
616.17,620.9,624.2,653.11,665.95,675.34,682.27,692.38,701.81,714.31,723.43,730.9,742.7,751.83,762.9,003
621.52,615.85,610.17,787.73,775.33,759.61,741.84,726.15,711.17,695.1,678.5,660.57,647.22,629.4,610.48,004
616.71,621.16,624.87,644.6,660.68,671.72,680.02,691.4,702.04,714.56,724.44,732.77,744.61,753.16,762.54,005
624.29,620.88,617.11,759.3,753.09,743.38,731.83,722.7,713.41,703.74,692.36,679.68,671.22,658.94,646.48,006
619.43,622.91,625.01,666.23,678.77,686.14,690.84,698.96,706.43,714.65,721.1,726.1,734.57,739.56,745.13,007
624.51,623.04,620.89,742.46,740.41,735.11,726.44,720.39,714.1,707.87,701.71,692.87,688.26,679.71,670.22,008
618.42,622.39,624.43,659.56,673.35,682.2,688.1,696.73,704.49,713.68,720.72,726.71,736.3,741.53,746.65,009
624.65,622.7,619.88,751.59,748.59,741.24,730.79,723.15,714.68,706.85,699.94,689.95,684.34,674.24,662.73,010
614.98,620.43,624.39,632.65,650.98,664.72,675.11,688.56,700.48,714.3,725.97,736.33,750.62,760.76,770.49,011
624.41,623.79,622.05,728.42,728.88,725.14,719.27,716.83,713.45,709.62,706.49,700.79,699.35,693.55,687.63,012
618.35,622.33,624.22,667.11,679.25,686.35,690.49,698.31,704.97,713.47,720.37,726.25,735.98,741.69,747.87,013
623.63,624.4,624.06,709.31,713.35,713.73,711.65,712.2,711.64,711.61,711.64,708.99,709.96,707.05,703.98,014
617.72,621.72,622.74,680.49,691.42,696.16,697.0,701.4,705.6,712.64,719.12,725.05,734.85,739.74,743.95,015
623.27,624.4,624.41,701.57,707.86,709.59,708.72,710.72,711.05,712.98,715.01,714.78,718.06,717.45,716.22,016
619.06,621.74,622.03,687.59,696.23,699.66,699.79,703.22,706.37,710.52,715.35,718.35,724.8,727.1,729.24,017
622.85,624.45,624.79,699.9,705.53,707.4,706.87,709.69,711.04,713.84,716.11,716.66,721.05,721.79,722.95,018
619.37,621.49,622.2,690.14,697.46,699.77,698.79,702.72,706.76,709.75,713.27,715.87,721.87,724.04,727.44,019
624.94,623.92,622.4,724.45,723.18,720.13,716.19,715.02,713.06,709.04,706.14,701.22,699.75,695.16,692.08,020
619.28,621.13,622.51,688.0,695.47,698.14,697.96,702.22,705.88,710.66,714.99,717.76,723.85,726.44,730.33,021
623.35,624.33,624.45,701.36,706.02,707.56,707.1,709.72,710.9,711.76,713.6,713.14,715.82,715.14,715.34,022
620.07,619.22,616.31,743.15,740.79,732.99,722.49,715.57,708.63,702.52,697.45,690.47,686.86,679.11,672.07,023
620.34,623.41,625.13,674.33,684.29,691.07,695.11,702.26,708.16,714.49,721.23,725.91,734.4,739.05,744.15,024
622.13,621.11,617.7,751.21,748.67,740.15,727.94,719.38,711.12,705.33,698.35,690.86,686.91,678.08,669.27,025
623.19,624.57,625.04,693.51,699.68,703.6,704.94,708.58,711.35,712.92,716.83,717.87,723.32,724.33,725.04,026
621.77,621.74,619.38,734.93,734.04,728.3,719.14,714.47,710.06,706.67,703.31,698.58,698.27,693.04,689.45,027
623.24,624.38,624.49,704.38,707.82,709.09,708.26,710.24,710.93,711.66,713.6,713.16,716.27,716.05,717.31,028
622.0,622.12,619.91,732.82,732.15,726.86,718.45,713.85,709.68,706.26,702.84,697.84,696.63,691.27,687.52,029
619.79,622.97,624.78,674.11,684.35,690.76,694.67,701.68,707.11,713.36,721.13,726.71,735.99,741.61,747.69,030
622.86,621.0,617.39,756.69,752.0,742.89,730.62,720.52,711.34,701.83,693.02,682.6,675.71,664.19,653.11,031
616.22,620.99,624.31,641.87,659.12,670.74,679.71,691.78,702.17,713.56,726.35,736.94,750.81,761.0,770.38,032
