(TB1 Position) - (TB2 Position) m,(TB2 Position) - (TB3 Position) m,(TB3 Position) - (TB4 Position) m,(TB4 Position) - (TB5 Position) m,(TB5 Position) - (TB6 Position) m,(TB6 Position) - (TB7 Position) m,(TB7 Position) - (TB8 Position) m,(TB8 Position) - (TB9 Position) m,(TB9 Position) - (TB10 Position) m,(TB10 Position) - (TB11 Position) m,(TB11 Position) - (TB12 Position) m,(TB1 Position) - (TB12 Position) m,Seq
145.44,138.23,140.17,144.48,141.24,139.0,142.95,143.81,136.8,147.81,138.67,1558.32,001
141.02,139.97,139.87,145.27,140.78,138.65,145.64,142.13,143.46,140.44,137.95,1554.88,002
143.54,138.29,138.22,146.02,138.72,137.92,79.16,71.37,135.09,144.1,126.42,1398.41,003
141.21,139.62,139.53,144.75,140.42,139.52,145.02,142.67,143.01,141.34,135.56,1552.19,004
141.77,139.98,137.68,141.85,140.86,141.19,144.38,143.02,138.61,145.97,136.35,1551.23,005
142.14,140.7,139.95,145.35,140.46,138.93,146.5,142.67,142.05,142.88,139.44,1560.63,006
140.56,140.52,137.93,144.03,138.27,140.86,144.27,142.16,137.86,145.57,138.5,1550.09,007
140.6,137.66,141.36,143.53,139.81,138.54,145.51,140.25,141.26,143.49,137.69,1549.36,008
146.34,137.54,139.58,141.62,139.75,140.31,143.97,141.35,76.91,86.68,138.2,1431.51,009
142.33,139.58,143.25,143.81,141.43,139.58,146.66,142.48,142.76,142.34,138.65,1562.38,010
140.84,137.79,142.02,139.68,144.02,137.47,144.49,139.62,138.44,143.29,135.55,1542.74,011
143.59,138.57,142.79,141.27,143.22,138.02,145.98,142.63,139.74,143.84,139.89,1558.93,012
141.61,139.14,142.97,139.22,144.36,138.16,144.05,149.5,131.88,146.12,139.63,1556.23,013
140.1,139.53,143.1,137.93,144.24,135.91,146.39,149.58,132.92,143.95,138.25,1551.51,014
128.4,129.07,141.61,136.26,145.53,137.76,107.25,114.97,132.83,145.43,136.83,1455.34,015
139.38,106.1,112.01,135.16,145.76,135.41,105.76,104.08,111.63,145.81,123.75,1364.41,016
139.2,70.19,79.62,133.74,146.93,141.74,147.73,149.17,131.58,144.47,135.57,1419.4,017
140.59,66.42,74.65,135.07,147.06,134.73,145.24,146.17,128.61,140.06,130.08,1388.26,018
140.57,139.13,142.65,137.54,147.21,137.78,144.02,150.03,132.39,145.44,138.81,1555.17,019
140.23,139.65,141.99,137.47,146.29,137.03,144.8,148.88,135.26,140.97,139.31,1551.57,020
141.57,137.87,143.45,78.28,86.48,139.26,142.34,149.49,129.52,150.66,139.12,1437.62,021
140.11,138.84,141.07,139.16,144.79,136.69,145.32,147.99,133.0,142.39,139.41,1548.48,022
143.21,142.55,142.46,143.32,144.46,139.79,145.52,150.0,133.45,145.98,141.97,1572.33,023
140.2,136.0,144.88,140.85,143.31,136.25,144.63,147.34,136.1,140.43,140.48,1550.17,024
142.02,136.68,147.46,143.56,144.83,138.28,145.39,148.12,134.33,145.01,139.08,1564.12,025
139.94,135.26,145.22,139.45,143.25,138.2,144.98,145.74,136.0,139.49,139.8,1547.01,026
142.88,137.22,144.26,143.13,143.5,136.32,144.48,148.65,134.07,144.19,138.46,1556.73,027
139.01,137.86,142.95,142.63,141.19,136.94,144.22,143.35,136.45,143.35,141.62,1549.44,028
141.96,138.5,143.99,145.01,141.36,139.07,143.94,143.54,139.93,142.7,140.27,1559.95,029
139.9,138.2,142.22,142.46,141.21,136.61,144.3,143.98,137.68,144.74,138.58,1549.71,030
141.62,139.02,145.07,143.29,142.79,140.09,145.13,143.94,138.47,146.28,139.46,1564.86,031
142.35,137.14,143.65,143.41,141.53,137.4,143.14,145.62,138.67,143.94,140.69,1557.29,032
142.47,139.79,145.74,142.66,143.4,140.24,144.36,145.92,137.98,145.77,139.62,1567.49,033
143.43,135.0,142.59,143.67,140.18,138.58,142.05,145.6,138.86,141.3,139.67,1550.52,034
146.6,141.33,146.43,143.35,106.42,105.27,143.98,143.35,142.29,145.03,141.1,1504.6,035
141.41,137.95,145.4,141.48,139.47,138.42,144.25,143.93,137.03,144.26,139.53,1552.88,036
142.34,138.07,156.03,132.16,140.89,138.3,144.81,143.76,137.56,143.71,142.45,1559.73,037
141.72,137.09,156.29,128.44,138.37,137.97,143.47,142.44,135.33,143.18,138.43,1542.47,038
130.75,148.96,143.35,133.22,139.51,137.03,145.66,141.56,143.37,141.5,137.23,1541.66,039
142.1,142.28,148.13,134.59,137.46,139.06,144.04,142.48,140.54,140.35,143.29,1553.73,040
140.89,134.96,156.59,131.05,141.04,134.73,146.79,138.34,143.56,142.96,137.98,1548.31,041
122.06,121.27,134.32,117.37,123.31,115.33,134.65,124.54,126.22,123.56,123.72,1365.64,042
